Date|Active Users|Favorites|Total Visits|Voice Chat|Camera|Date Created|Last Updated|Server Size|Genre|Title|Creator|Age Recommendation|gameID|Category|URL
2024-11-02 23:05:49|92333|598204|580.8M+|Not Supported|Not Supported|1/28/2024|11/2/2024|24|Strategy|[UPDATE 1] Anime Vanguards|Kitawari|All Ages|16146832113|Trending Music Experiences|https://www.roblox.com/games/16146832113/UPDATE-1-Anime-Vanguards?appliedFilters=device%253Dall%252Cage%253Dall%252Ccountry%253Dall&discoverPageSessionInfo=a3919ae2-73d3-4499-a6d3-dc18ba62f568&gameSetTargetId=216&gameSetTypeId=23&isAd=false&nativeAdData=&numberOfLoadedTiles=54&page=gamesPage&placeId=16146832113&playContext=gamesPage&position=2&sortPos=5&universeId=5578556129
2024-11-02 23:05:53|42353|9999536|4.5B+|Not Supported|Not Supported|6/17/2023|10/31/2024|16|Action|Blade Ball|Wiggity.|All Ages|13772394625|Trending Music Experiences|https://www.roblox.com/games/13772394625/Blade-Ball?appliedFilters=device%253Dall%252Cage%253Dall%252Ccountry%253Dall&discoverPageSessionInfo=a3919ae2-73d3-4499-a6d3-dc18ba62f568&gameSetTargetId=216&gameSetTypeId=23&isAd=false&nativeAdData=&numberOfLoadedTiles=54&page=gamesPage&placeId=13772394625&playContext=gamesPage&position=4&sortPos=5&universeId=4777817887
2024-11-02 23:05:57|7928|268552|223.6M+|Not Supported|Not Supported|4/30/2022|11/1/2024|50|Strategy|2X POINTS CHAPTER II🎃 Tower Defense X: BETA|Tower Defense X|All Ages|9503261072|Trending Music Experiences|https://www.roblox.com/games/9503261072/2X-POINTS-CHAPTER-II-Tower-Defense-X-BETA?appliedFilters=device%253Dall%252Cage%253Dall%252Ccountry%253Dall&discoverPageSessionInfo=a3919ae2-73d3-4499-a6d3-dc18ba62f568&gameSetTargetId=216&gameSetTypeId=23&isAd=false&nativeAdData=&numberOfLoadedTiles=54&page=gamesPage&placeId=9503261072&playContext=gamesPage&position=21&sortPos=5&universeId=3541611379
2024-11-02 23:06:01|76003|6710285|5.7B+|Not Supported|Not Supported|3/14/2021|10/26/2024|40|Survival|🎃 DOORS 👁️|LSPLASH|All Ages|6516141723|Trending Music Experiences|https://www.roblox.com/games/6516141723/DOORS?appliedFilters=device%253Dall%252Cage%253Dall%252Ccountry%253Dall&discoverPageSessionInfo=a3919ae2-73d3-4499-a6d3-dc18ba62f568&gameSetTargetId=216&gameSetTypeId=23&isAd=false&nativeAdData=&numberOfLoadedTiles=54&page=gamesPage&placeId=6516141723&playContext=gamesPage&position=33&sortPos=5&universeId=2440500124
2024-11-02 23:06:05|29145|5957212|2.9B+|Not Supported|Not Supported|3/21/2018|10/29/2024|6|Simulation|Bee Swarm Simulator|@Onett|All Ages|1537690962|Trending Music Experiences|https://www.roblox.com/games/1537690962/Bee-Swarm-Simulator?appliedFilters=device%253Dall%252Cage%253Dall%252Ccountry%253Dall&discoverPageSessionInfo=a3919ae2-73d3-4499-a6d3-dc18ba62f568&gameSetTargetId=216&gameSetTypeId=23&isAd=false&nativeAdData=&numberOfLoadedTiles=54&page=gamesPage&placeId=1537690962&playContext=gamesPage&position=17&sortPos=5&universeId=601130232
2024-11-02 23:06:09|10533|2074083|1.0B+|Not Supported|Not Supported|3/9/2022|11/2/2024|16|Simulation|[💥SHADOW] Sonic Speed Simulator|Gamefam x Sonic|All Ages|9049840490|Trending Music Experiences|https://www.roblox.com/games/9049840490/SHADOW-Sonic-Speed-Simulator?appliedFilters=device%253Dall%252Cage%253Dall%252Ccountry%253Dall&discoverPageSessionInfo=a3919ae2-73d3-4499-a6d3-dc18ba62f568&gameSetTargetId=216&gameSetTypeId=23&isAd=false&nativeAdData=&numberOfLoadedTiles=54&page=gamesPage&placeId=9049840490&playContext=gamesPage&position=30&sortPos=5&universeId=3405618667
2024-11-02 23:06:13|62760|1123732|5.0B+|Not Supported|Not Supported|6/17/2023|11/1/2024|30|Strategy|[⏳] Toilet Tower Defense|Telanthric Development|All Ages|13775256536|Trending Music Experiences|https://www.roblox.com/games/13775256536/Toilet-Tower-Defense?appliedFilters=device%253Dall%252Cage%253Dall%252Ccountry%253Dall&discoverPageSessionInfo=a3919ae2-73d3-4499-a6d3-dc18ba62f568&gameSetTargetId=216&gameSetTypeId=23&isAd=false&nativeAdData=&numberOfLoadedTiles=54&page=gamesPage&placeId=13775256536&playContext=gamesPage&position=9&sortPos=5&universeId=4778845442
2024-11-02 23:06:17|21857|18272957|7.1B+|Not Supported|Not Supported|1/7/2017|10/23/2024|28|Action|Jailbreak 🍁|Badimo|All Ages|606849621|Trending Music Experiences|https://www.roblox.com/games/606849621/Jailbreak?appliedFilters=device%253Dall%252Cage%253Dall%252Ccountry%253Dall&discoverPageSessionInfo=a3919ae2-73d3-4499-a6d3-dc18ba62f568&gameSetTargetId=216&gameSetTypeId=23&isAd=false&nativeAdData=&numberOfLoadedTiles=54&page=gamesPage&placeId=606849621&playContext=gamesPage&position=24&sortPos=5&universeId=245662005
2024-11-02 23:06:22|78928|685595|3.0B+|Not Supported|Not Supported|4/5/2024|11/2/2024|30|Strategy|[🎄RED ONE] Anime Defenders|Small World Games x Anime Defenders|All Ages|17017769292|Trending Music Experiences|https://www.roblox.com/games/17017769292/RED-ONE-Anime-Defenders?appliedFilters=device%253Dall%252Cage%253Dall%252Ccountry%253Dall&discoverPageSessionInfo=a3919ae2-73d3-4499-a6d3-dc18ba62f568&gameSetTargetId=216&gameSetTypeId=23&isAd=false&nativeAdData=&numberOfLoadedTiles=54&page=gamesPage&placeId=17017769292&playContext=gamesPage&position=20&sortPos=5&universeId=5836869368
2024-11-02 23:06:26|7838|357623|353.7M+|Not Supported|Not Supported|7/31/2023|11/2/2024|10|Sports & Racing|[2X]🎃Basketball Legends🎃|InfinitySports|All Ages|14259168147|Trending Music Experiences|https://www.roblox.com/games/14259168147/2X-Basketball-Legends?appliedFilters=device%253Dall%252Cage%253Dall%252Ccountry%253Dall&discoverPageSessionInfo=a3919ae2-73d3-4499-a6d3-dc18ba62f568&gameSetTargetId=216&gameSetTypeId=23&isAd=false&nativeAdData=&numberOfLoadedTiles=54&page=gamesPage&placeId=14259168147&playContext=gamesPage&position=42&sortPos=5&universeId=4931927012
